sl_no,state,year,tb_cases,outbreak_label,e_inc_100k,e_mort_100k,c_cdr,log_tb_cases,year_trend,state_burden_rank,state_mean,state_std
5,Bihar,2022,161165,1,196.0,23.0,81.0,11.990190168694168,2,5.0,117285.0,36825.959385556635
6,Chandigarh,2022,6066,0,196.0,23.0,81.0,8.710619527942297,2,23.0,4193.25,1829.9415974287267
7,Chhattisgarh,2022,38521,0,196.0,23.0,81.0,10.558984785644167,2,18.0,29016.75,9607.461974076885
8,Dadra and Nagar Haveli and Daman and Diu,2022,1399,0,196.0,23.0,81.0,7.24422751560335,2,32.0,936.25,425.7396504907665
9,Delhi,2022,106731,1,196.0,23.0,81.0,11.578076298606234,2,7.0,83493.0,31944.68601609142
10,Goa,2022,2091,0,196.0,23.0,81.0,7.645875825184813,2,30.0,1660.0,558.7026639158495
11,Gujarat,2022,151912,1,196.0,23.0,81.0,11.931063267542026,2,6.0,119447.0,41469.79098894359
12,Haryana,2022,75838,1,196.0,23.0,81.0,11.236367951187963,2,12.0,60537.25,18148.75893598972
13,Himachal Pradesh,2022,16089,0,196.0,23.0,81.0,9.685953239986429,2,21.0,12732.25,4024.0434370584685
14,Jammu and Kashmir,2022,11804,0,196.0,23.0,81.0,9.376278449519614,2,22.0,9178.25,2894.73710665868
15,Jharkhand,2022,57320,0,196.0,23.0,81.0,10.956422327707585,2,15.0,44723.5,14707.161033546436
16,Karnataka,2022,80416,1,196.0,23.0,81.0,11.294980875602253,2,11.0,62607.5,21395.410076306864
17,Kerala,2022,23388,0,196.0,23.0,81.0,10.060021105350893,2,20.0,18802.0,6543.854776302217
18,Ladakh,2022,320,0,196.0,23.0,81.0,5.771441123130016,2,35.0,254.25,67.12860791048776
19,Lakshadweep,2022,11,0,196.0,23.0,81.0,2.4849066497880004,2,36.0,12.25,5.795112883571237
20,Madhya Pradesh,2022,186293,1,196.0,23.0,81.0,12.13508134995189,2,3.0,140719.5,49613.80194058907
21,Maharashtra,2022,234105,1,196.0,23.0,81.0,12.363529283223176,2,2.0,170989.75,61850.877047810194
22,Manipur,2022,2554,0,196.0,23.0,81.0,7.845807502637805,2,29.0,1702.5,682.3266568636071
23,Meghalaya,2022,4989,0,196.0,23.0,81.0,8.515191188745565,2,24.0,3834.25,1249.7870151883212
24,Mizoram,2022,2085,0,196.0,23.0,81.0,7.643003635560718,2,31.0,1787.25,588.5271871375187
25,Nagaland,2022,4125,0,196.0,23.0,81.0,8.325063693631197,2,25.0,3289.0,967.372730647293
26,Odisha,2022,60372,0,196.0,23.0,81.0,11.00829726411219,2,14.0,46080.0,14717.654364741686
27,Puducherry,2022,3835,0,196.0,23.0,81.0,8.252185436003328,2,26.0,2673.25,1418.5728450335805
28,Punjab,2022,55150,0,196.0,23.0,81.0,10.917830156883532,2,16.0,44072.5,13360.349833244138
29,Rajasthan,2022,169522,1,196.0,23.0,81.0,12.04074388981249,2,4.0,131328.0,43483.4056700561
30,Sikkim,2022,1395,0,196.0,23.0,81.0,7.241366283322318,2,33.0,1177.25,375.93649729708346
31,Tamil Nadu,2022,93879,1,196.0,23.0,81.0,11.44977264996496,2,9.0,71982.25,22836.250821519134
32,Telangana,2022,72941,1,196.0,23.0,81.0,11.19741988378385,2,13.0,56989.5,18051.605219481175
33,Tripura,2022,3024,0,196.0,23.0,81.0,8.014666370464942,2,27.0,2276.25,665.1563099502753
34,Uttar Pradesh,2022,522850,1,196.0,23.0,81.0,13.167051807619341,2,1.0,399297.75,116056.67559250236
35,Uttarakhand,2022,27553,0,196.0,23.0,81.0,10.223902994604545,2,19.0,20329.5,6971.958715693412
36,West Bengal,2022,100972,1,196.0,23.0,81.0,11.522608433352563,2,8.0,78677.0,24662.037344874814
1,Andaman and Nicobar Islands,2023,295,0,192.0,22.0,86.0,5.69035945432406,3,34.0,453.5,108.11259562758323
2,Andhra Pradesh,2023,37609,0,192.0,22.0,86.0,10.535025251464383,3,9.0,70173.25,24898.863673870743
3,Arunachal Pradesh,2023,1126,0,192.0,22.0,86.0,7.027314514039777,3,27.0,2308.75,800.8326396112153
4,Assam,2023,21155,0,192.0,22.0,86.0,9.95967883218587,3,17.0,35469.75,10988.60092322949
5,Bihar,2023,77278,1,192.0,22.0,86.0,11.255177528844085,3,3.0,117285.0,36825.959385556635
6,Chandigarh,2023,1693,0,192.0,22.0,86.0,7.434847875211999,3,25.0,4193.25,1829.9415974287267
7,Chhattisgarh,2023,15791,0,192.0,22.0,86.0,9.667258761673263,3,18.0,29016.75,9607.461974076885
8,Dadra and Nagar Haveli and Daman and Diu,2023,368,0,192.0,22.0,86.0,5.910796644040527,3,33.0,936.25,425.7396504907665
9,Delhi,2023,37361,0,192.0,22.0,86.0,10.528409424100508,3,10.0,83493.0,31944.68601609142
10,Goa,2023,871,0,192.0,22.0,86.0,6.77078942390898,3,30.0,1660.0,558.7026639158495
11,Gujarat,2023,60585,0,192.0,22.0,86.0,11.011819122265148,3,6.0,119447.0,41469.79098894359
12,Haryana,2023,34531,0,192.0,22.0,86.0,10.449641709355413,3,11.0,60537.25,18148.75893598972
13,Himachal Pradesh,2023,6924,0,192.0,22.0,86.0,8.842893331055539,3,21.0,12732.25,4024.0434370584685
14,Jammu and Kashmir,2023,5253,0,192.0,22.0,86.0,8.566744970245486,3,22.0,9178.25,2894.73710665868
15,Jharkhand,2023,23890,0,192.0,22.0,86.0,10.08125709796202,3,16.0,44723.5,14707.161033546436
16,Karnataka,2023,31794,0,192.0,22.0,86.0,10.367064323701507,3,12.0,62607.5,21395.410076306864
17,Kerala,2023,9113,0,192.0,22.0,86.0,9.117566971823829,3,20.0,18802.0,6543.854776302217
18,Ladakh,2023,167,0,192.0,22.0,86.0,5.123963979403259,3,35.0,254.25,67.12860791048776
19,Lakshadweep,2023,6,0,192.0,22.0,86.0,1.9459101490553132,3,36.0,12.25,5.795112883571237
20,Madhya Pradesh,2023,72591,1,192.0,22.0,86.0,11.192610001903745,3,4.0,140719.5,49613.80194058907
