state,year,outbreak,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16
Andhra Pradesh,2022,1,0.0,0.0,0.0,2.1718884,3.0351386,2.2738314,0.0,0.0,3.5040329,0.0,0.0,0.0,3.1763816,2.8304982,0.0,0.0
Arunachal Pradesh,2022,0,7.9536195,6.99874,10.633424,0.0,0.0,0.0,9.477473,8.220172,0.0,8.404344,9.048706,8.649526,0.0,0.0,6.350909,7.9678802
Assam,2022,0,7.8092613,6.684326,10.441244,0.0,0.0,0.0,9.57501,8.264415,0.0,8.4845495,9.304595,8.721667,0.0,0.0,6.3840017,7.5655074
Bihar,2022,1,0.0,0.0,0.0,2.699302,3.7857842,2.796134,0.0,0.0,4.360269,0.0,0.0,0.0,3.9467113,3.6513464,0.0,0.0
Chandigarh,2022,0,8.247068,7.178482,11.035319,0.0,0.0,0.0,9.921653,8.5826845,0.0,8.772686,9.542234,9.050626,0.0,0.0,6.618707,8.1701975
Chhattisgarh,2022,0,1.8743111,1.7717813,2.3360198,0.0,0.0,0.0,1.8949269,1.6414018,0.0,1.8769764,1.8945551,1.7754742,0.0,0.0,1.5428138,2.0796492
Dadra and Nagar Haveli and Daman and Diu,2022,0,9.828349,8.623091,13.24411,0.0,0.0,0.0,11.909228,10.297293,0.0,10.472966,11.341173,10.849519,0.0,0.0,7.845467,9.804321
Delhi,2022,1,0.0,0.0,0.0,3.9541461,5.5057716,4.045642,0.0,0.0,6.3182464,0.0,0.0,0.0,5.625819,5.1656876,0.0,0.0
Goa,2022,0,3.4611242,3.2571895,4.58636,0.0,0.0,0.0,3.7893457,3.3755877,0.0,3.6212797,3.7040138,3.5136201,0.0,0.0,2.8280103,3.8171482
Gujarat,2022,1,0.0,0.0,0.0,5.3705177,7.376352,5.4503846,0.0,0.0,8.488418,0.0,0.0,0.0,7.517017,6.9809527,0.0,0.0
Haryana,2022,1,0.33176318,0.388055,0.1170389,1.8879046,2.7863727,2.049353,0.1955739,0.25088945,3.2336488,0.14855285,0.35613847,0.29888004,2.8410423,2.5301774,0.25897324,0.35405236
Himachal Pradesh,2022,0,2.3820786,2.227073,3.0152996,0.0,0.0,0.0,2.4463952,2.1715624,0.0,2.3957336,2.425575,2.293362,0.0,0.0,1.9397937,2.6162462
Jammu and Kashmir,2022,0,8.004685,6.950173,10.686465,0.0,0.0,0.0,9.615842,8.314283,0.0,8.512745,9.277263,8.779234,0.0,0.0,6.4364905,7.9171596
Jharkhand,2022,0,1.3038995,1.2675781,1.5380356,0.13100037,0.33181554,0.23448011,1.2566537,1.1039168,0.39706308,1.282718,1.3185809,1.1863679,0.2665413,0.16211045,1.0830524,1.464971
Karnataka,2022,1,0.0,0.0,0.0,2.2513402,3.1071117,2.3512962,0.0,0.0,3.6011913,0.0,0.0,0.0,3.256983,2.865663,0.0,0.0
Kerala,2022,0,2.257987,2.0751824,2.9665723,0.0,0.0,0.0,2.4463,2.175791,0.0,2.3613222,2.4090307,2.262244,0.0,0.0,1.8501133,2.4317439
Ladakh,2022,0,10.234193,9.010836,13.83682,0.0,0.0,0.0,12.446015,10.754157,0.0,10.910689,11.787192,11.330702,0.0,0.0,8.146487,10.224782
Lakshadweep,2022,0,10.470961,9.269358,14.241887,0.0,0.0,0.0,12.834997,11.06703,0.0,11.181123,12.043386,11.659119,0.0,0.0,8.301936,10.460681
Madhya Pradesh,2022,1,0.0,0.0,0.0,6.5665236,9.0000515,6.66831,0.0,0.0,10.358977,0.0,0.0,0.0,9.148618,8.522011,0.0,0.0
Maharashtra,2022,1,0.0,0.0,0.0,3.9854746,5.5110507,4.116783,0.0,0.0,6.3600135,0.0,0.0,0.0,5.714582,5.3398423,0.0,0.0
Manipur,2022,0,8.751571,7.6848974,11.735677,0.0,0.0,0.0,10.502741,9.097822,0.0,9.279787,10.025137,9.576151,0.0,0.0,6.989093,8.742864
Meghalaya,2022,0,6.7592254,5.940727,8.983177,0.0,0.0,0.0,7.9755073,6.924499,0.0,7.1161184,7.6494126,7.290755,0.0,0.0,5.4109282,6.7715874
Mizoram,2022,0,8.995962,7.9145484,12.072313,0.0,0.0,0.0,10.79559,9.353946,0.0,9.534216,10.285629,9.841876,0.0,0.0,7.175501,9.004089
Nagaland,2022,0,8.303749,7.2593207,11.11746,0.0,0.0,0.0,9.970625,8.629917,0.0,8.816836,9.557884,9.092977,0.0,0.0,6.6502733,8.258837
Odisha,2022,0,0.7184378,0.712887,0.7540075,0.769323,1.1815681,0.8877473,0.6132829,0.58792734,1.402602,0.666716,0.7318506,0.62780744,1.2171742,0.9925016,0.6094715,0.80558974
Puducherry,2022,0,8.760291,7.65001,11.752795,0.0,0.0,0.0,10.563267,9.137313,0.0,9.324097,10.121103,9.631792,0.0,0.0,7.016806,8.705686
